name,firstname,birthdate,deathdate,url,eat_member
Adams,Carl
"Adams
",Edward
"Adorno
",Olga
"Akiyama
",Tadanori 
"Albrecht 
",Melynda
"Anderson
",Jim 
"Andre
",Carl 
"Antonakos 
",Stephen
"Arnold
",Becky 
"Asada
",T. 
"Asberg 
",Margaretha
"Auder
",Michel 
"Awazu 
",Kiyoshi
"Baba 
",Teruo
"Bacon 
",Karen
Bailey, F. 
"Baker 
",Max
"Bark 
",Jared
"Beck 
",Bo
"Behrman 
",David
Biorn, Per 
"Block 
",Joseph
"Blugerman 
",Bruce
"Bontecou 
",Lee
"Brecht 
",George
"Breer 
",Frances
"Breer 
",Franny
"Breer 
",Robert,1926,12/08/2011
"Brill 
",Herbert
"Brockway 
",Sy
"Brown 
",Carolyn
"Brown 
",Trisha
"Brune 
",Soren
"Bryant 
",Gloria
"Burchfield 
",Ritty
"Cage 
",John
"Camlibel 
",Irfan
"Carr 
",George
"Castelli 
",Leo
"Castoro 
",Rosemarie
"Chamberlain 
",John
Chandralekha 
"Charlip 
",Remy
"Cheney 
",Robert
"Childs 
",Lucinda
"Clementi 
",Mimi
"Coker
",Cecil H. 
"Collins 
",Richard
"Cooper 
",Ralph
"Cox 
",Robert
"Creeley 
",Robert
"Cross 
",Lowell
"Cumminski 
",Pete
"Cunningham 
",Merce
"Daley 
",Sandy
"Davis 
",David
"Davis 
",Jeff
"Davis 
",William
"Dawson 
",Chris
"De Antonio
",Emile 
"De Long
",Harriet 
"De Maria 
",Suzanne
"De Maria 
",Walter
"Demierre
",Richard 
"Dermott 
",Cronin
"De Sola 
",Carlos
"Dewey 
",Ken
"Dijon 
",Kaaba
"Dillenkofer 
",Ted
Dine, Jim 
"Di Suvero 
",Mark
"Doi
",Tadashi 
"Doty 
",Judith
"Doty 
",Julie
"Dupuy 
",Jean
"Durand 
",Régis
"Edwards 
",George
"Eguchi 
",Kazukuki
"Eisenhauer 
",Letty Lou
"Ekman 
",June
"Ellmore 
",Lewis
"Emmons 
",Beverly
"Epworth 
",Roger
"Fabry 
",Thomas
"Fahlström 
",Barbro
"Fahlström 
",Öyvind
"Farrell 
",Jacquelyn
"Ferragallo 
",Roger
"Finley 
",Bill
"Fitch 
",Toby
"Flavin 
",Dan
"Flynn
",Ralph 
"Forkner 
",John
"Forti 
",Simone
"Frampton 
",Hollis
"Friberg
",Karl Erik 
"Fujii 
",Mariko
"Fujita 
",Ikuo
"Fujiwara 
",Tsutomu
"Garmire
",Elsa
"Gelb 
",Walter
"Giorno 
",John
"Glueck 
",Grace
"Glushakow 
",Bruce
"Gnazzo 
",Antony
"Gorewitz 
",Rubin
"Gormley 
",Tom
"Gorowitz 
",Rubin
"Grant 
",Alphonso
"Graves 
",Nancy
"Grooms 
",Red
"Haacke 
",Hans
"Halprin 
",Ann
"Hanasaka 
",Takeshi
"Hardy 
",Jim
"Harmon
",Leon D. 
"Harper 
",Harry
"Harris 
",Cyril
"Harris 
",John
"Harrison 
",Carla
"Hartig 
",Bill
"Hartnett 
",Susan
"Hasigawa 
",Paul
"Hay 
",Alex
"Hay 
",Deborah
"Haymes 
",Richard
"Hecht 
",Margaret
"Heilos 
",Larry
"Hennessy 
",Richard
"Hightower 
",John
"Hijikata 
",Takumi
"Hijikata 
",Yoshiyuki
"Hiraga 
",Sebastian
"Hirsch 
",Peter
"Hobart 
",James
"Hocking 
",Ralph
"Hodges 
",Harold
"Holder 
",Tony
"Holland 
",Terrie
"Hughs 
",Cassandra
"Hulten 
",Pontus
"Huseby 
",Thomas
"Hyman 
",Harris
"Ichiyanagi 
",Toshi
"Idone 
",Philip
Issa, Khalil 
"Iverson 
",Ed
"Iverson 
", Kathy
"Jeffries 
",Carson
"Jiusto
",James
"Johns 
",Jasper
"Johnson 
",Dennis
"Jonas 
",Joan
"Jones 
",Howard
"Joyce 
",Elizabeth
"Judd 
",Donald
"Judd 
",Julie
"Kahan 
",Nancy
"Kamei 
",Toyohisa
"Kaminski 
",Bill
"Kanarek 
",Mimi
"Kaprow 
",Allan
"Keats 
",Perry
"Kelly 
",Ellsworth
"Kelly 
",Robert
Kendall, Donald M. 
"Kender
",? 
"Kheel
",Theodore W. 
"Kieronski
",Robert V. 
"Kirby 
",Michael
"Klüver 
",Billy
"Knowlton
",Kenneth C. 
"Kogyo 
",Asahi
"Komoguchi 
",Etsuji
Kosugi 
"Kramer 
",Jane
"Krauskopf 
",Jill
"Krauskopf 
",John
"Kubik 
",Peter
"Kubo 
",Tatsuo
"Kullaway 
",Penelope
"Kuraishi 
",Hideo
"Kurchin 
",Alfred
"Kuwahara 
",Fumio
"La Haye 
",Frank
La Monte Young 
"Landsman 
",Stanley
"Leavitt 
",Jacqueline
"Le Cornec
",Anne-Olivia 
"Leitch 
",Larry
"Levine 
",Les
"LeWitt 
",Sol
"Lew 
",Jeffrey
"Lichtenstein 
",Roy
"Lippman 
",Robert
"Lloyd 
",Benjamin
"Lobb 
",Vernon
"Loewen 
",Norma
"Lonidier 
",Lynn
"Lord
",Denny
"Lucier 
",Alvin
"Lucier 
",Mary
"Lye 
",Len
"Lyttkens 
",Ulla
"MacDermott 
",David
"Maeda 
",Yutaka
"Magura 
",Julie
"Malerba 
",Gloria
"Marcus 
",Ellen
Marisol 
"Martin 
",Agnes
"Martin 
",Anthony
"Martin 
",Julie
"Mason 
",Petrie
"Masuda 
",Kiyoshi
"Masuda 
",Mizuho
"Mathews 
",Max
"Matisse Monnier 
",Jacqueline
"Matthai 
",Ravi
"McFarland 
",Robert
"McGee 
",Jim
"McLaughlin 
",Lys
"Mee 
",Thomas
"Mee 
",Tom
"Mefferd 
",Boyd
"Merkle 
",Robert
"Michel 
",Theodore
"Mihara 
",Yoshiaki
"Miller 
",Gil
Mitsuda, Y. 
"Mitsuta 
",Yasushi
"Miyai 
",Rikuro
"Mizumoto 
",K.
"Monk 
",Meredith
"Moog 
",Robert
"Mooney 
",Russell
"Morris 
",Robert
"Muller 
",Norma
"Muller 
",Paul
"Mulreany 
",Robert
"Mumma 
",Gordon
"Mussman 
",Toby
"Myers
",Forrest
"Nachmias
",Yvette 
"Nagai 
",Koichi
"Nagai
",Kyoto 
"Nakajima 
",Yasunori
"Nakamura 
",Takeshi
"Nakaya 
",Fujiko
"Nakaya
",Sakako
"Nakhova 
",Irina
"Netter, Michael ",Michael 
"Nevelson, Louise ",Louise
"Newfield 
",Marcia
"Nishikawa
",Fujio 
"Noland 
",Kenneth
"Novros 
",David
"Oda 
",Minoru
"Ohlmacher 
",Ann
"Oku 
",Nobuyuki
"Okuyama 
",Junosuke
"Oldenburg 
",Claes
"Oliveros 
",Pauline
"Owens 
",Larry
"Pacquement 
",Alfred
"Paik 
",Nam June
"Pan
",John W. 
"Paxton 
",Steve
"Pearce 
",John
"Pearce 
",Peter
"Perez 
",Rudy
"Peron 
",Alain
"Perr 
",Herbert
"Perry 
",Gunter
"Petrock 
",Rose
"Phillips 
",Ardison
"Piano 
",Renzo
"Pichel 
",Marlowe
"Pietkiewicz 
",Hala
"Poling 
",Clark
"Polk 
",Brigid
"Poole 
",Peter
"Poons
",Thalia
"Pottasch 
",Alan
"Quennell 
",Nicholas
"Quigley 
",Charles
"Rainer 
",Yvonne
"Rauschenberg
",Christopher 
"Rauschenberg
",Robert ,22/10/1925,12/05/2008
"Rawson
",Eric 
"Redicker 
",Kate
"Riley 
",Terry
"Rivers 
",Larry
"Robinson 
",Robby
"Rogers 
",Richard
"Roos 
",Tonie
"Rosenquist 
",James
"Ross 
",Charles
"Rothkopf 
",Ernst
"Ryde
",John L.
"Saarinen 
",Eric
"Samaras 
",Lucas
"Santis 
",Phyllis
"Sarabhai 
",Mana
"Sarabhai 
",Vikram
"Sato 
",Masanaka
"Savage
",Robert
"Savard 
",Skip
"Schenzer 
",Karl
"Schilling 
",Alfons
"Schlichter 
",Joe
"Schneider 
",Herb
"Schoolman 
",Carlota
"Schroeder 
",Manfred
"Schuler 
",Robert
"Schultz Lundestam 
",Barbro
"Seawright 
",James
"Segal
",George 
"Selzer 
",Phyllis
"Serra 
",Richard
"Serwer
",Jacquelyn D. 
"Shfrazi 
",Toni
"Shimada 
",Hitoshi
"Shimada 
",Kimio
"Shiratori 
",Hiromi
"Shunk 
",Harry
"Silverstein 
",Lawrence
"Slater 
",Joseph
"Snow 
",Michael
"Sojka 
",Boris
"Solomon 
",Alan
"Sonnier 
",Keith
"Sorger 
",Hedi
"Sorin 
",Raphaël
"Spindler 
",Marvin
"Spons 
",Gunnar
"Stanciewicz 
",Stan
"Stanton 
",Alan
"Steck 
",Karl
"Stella 
",Frank
"Stenlund 
",Sigvard
"Stern 
",Gerd
"Stone 
",Merlin
"Strider 
",Marjorie
"Stroer 
",Rosemary
"Strumpf 
",Michael
"Stuart 
",David
"Sturtevant 
",Elaine
"Summers 
",Carol
"Swan
",Simone
"Takagi 
",Makiya
"Takahashi 
",Yuji
"Takayama 
",Kazuaki
"Takenaka
",Renichi
"Tamai 
",Sachiko
"Tamiya 
",Yasuharu
"Tanaka 
",Yoshikazu
"Taniyama 
",Euchi
"Teel 
",Malinda
"Tenney 
",James
"Terayama 
",Shuji
"Thomas 
",David
"Tinguely 
",Jean,22/05/1925,30/08/1991
"Tipton, Jennifer ",Jennifer
"Tono, Yoshiaki ",Yoshiaki
"Tsukio 
"
"Tudor 
",David
"Tum Seden 
",Richard
"Twombly 
",Cy
"Tworkov 
",Jack
"Ueda
",Morihiko 
"VanDerBeek 
",Stan
"Van't Slot 
",Lowell
"Vog 
",Sylvie
"Waldhauer 
",Fred
"Warhol 
",Andy
"Warren 
",Alexander
"Warren 
",Peter
"Watts 
",Robert
"Wazowicz 
",Martin
"Wesley 
",John
"Wesselmann 
",Tom
"White 
",David
"Whitman 
",Robert
"Whitney 
",David
"Wiggen 
",Ulla
"Wilkinson 
",Jim
"Williams 
",Christine
"Wilson 
",Robert
"Wittnebert 
",Witt
"Wolff 
",Dick
"Wolin 
",Gosta
"Woodbridge 
",David
"Wood 
",Robert
"Wurtele, Morion ",Morion
Yamaguchi,Katsuhlro 
Yoshimura ,Masanobu
Young,Lucy
Young,Niels O.
Zazeela ,Marian
Zettlemoyer,Nicholas 
"Academy for Educational Development, Guatemala "
Amul Dairy Cooperative 
Andy Warhol Museum 
Annual Avant Garde Festivals 
A.S.P.C.A. 
Bell and Howell Co. 
Bell Telephone Laboratories 
"B.K. Smith Gallery, Lake Erie College, Painesville, Ohio "
"Block Engineering, Inc. "
Brooklyn Academy of Music 
Brooklyn Museum of Art 
Capintec Nuclear 
Centre Georges Pompidou 
City of New York 
Coherent Radiation Laboratories 
"Columbia Sound, Inc. "
E.A.T. India 
E.A.T. Japan 
"E.A.T. local group in Detroit, Michigan "
"E.A.T. local group in Los Angeles, California "
