"name","description","activityTags","technologyTags","artTags"
"Homage to New York","1. Jean Tinguely arrived in New York in 1960 for an exhibition at the Staempfli Gallery. Pontus Hultén told me that 1 should ask him if he needed any help. He had received an offer to build a sculpture in the garden of the Museum of Modern Art. I asked Tinguely, ""What do you need?"" His answer was, ""bicycle wheels."" We gathered the material from bicycle shops in New Jersey and the garbage dumps on the New Jersey flats. It took us three weeks to build what he wanted, a self-destructing machine. With the help of my friends at Bell Telephone Laboratories, we constructed timing and triggering devices to release smoke, start a fire in a piano, break support members, and make noises. On the evening of March 17, 1960, the machine, which Jean called Hommage to New York, performed to a museum society audience with smoke billowing out from the structure and the piano playing. It destroyed itself in 27 minutes. What remained of the machine was carted back to the dumps in New Jersey.","Work
","Media, Radio, Sound, Metals, Electrical engineering 
","Performance, Cinetic, Painting, Sculpture, Construction/Assemblage, Process"
"Field Painting","2. Jasper Johns asked me for a transparent gas-discharge letter to include in a painting. He wanted the power supply to be mounted behind the painting without any power cords attaching the painting to the wall. My colleagues and I designed a battery-driven high-voltage power supply. A multi-vibrator circuit converted the OC voltage from 12-volt rechargeable batteries into AC voltage, which was transformed into 700 volts to power the neon letter. Here I am standing with the red neon 'R' in Johns' Field Painting, of 1963-64.","Work
","Neon, Electrical Engineering, Battery
","Painting, Relief, Sculpture"
"At My Body’s House","3. In the early 1960's dancers became interested in relating body movements or functions to sound as they danced. My assistant at Bell Labs, Harold Hodges and I made a small transmitter for Yvonne Rainer which she wore attached to her belt. A contact microphone on her throat picked up the sound of her breathing as she danced. The transmitter relayed the sound to a speaker. In this photograph Rainer is performing At My Body's House in 1964.","Work
","Radio, Electrical engineering, Sound, Microphone","Performance, Dance"
"Oracle","4. During the time I was working with Tinguely on Homage ta New York, Robert Rauschenberg asked me to collaborate on what he described as an interactive environment. After many discussions, the idea boiled down to a sound environment where the sounds from five AM radios emanate from five sculptures. The viewer can vary the volume and the rate of scanning through the frequency band from knobs on the control unit, but cannot stop the scanning at any one station. Rauschenberg wanted no wires from the control unit to the other pieces, so that they could ail be moved freely in relation to one another. With the limited technology available in the early 1960's, we designed and built a system where ail the AM radios were located in the control unit and the sound was re-transmitted on the FM band to receivers and speakers in the other pieces. Interference between the FM transmitters and noise from the scanning motors were problems we had to solve. In this photograph Rauschenberg and I are working on Oracle.

5. When Harold Hodges and I were finishing the technical system, Rauschenberg put together the five sculptures that make up Oracle from objects he found in the streets. The pieces consist of a car door mounted on a typewriter table; a tub with an air conditioning duct through which water flows with, a small wire basket attached to the tub by a chain; a window frame attached to another long duct; an exhaust pipe on large wheels; and a large aluminum staircase which houses the control unit. I had ordered the aluminum staircase according to Bob's specs, and he added other objects to it. Bob located the speakers in each piece so that the piece had its own unique sound.
Oracle was shown at Leo Castelli Gallery, on May 15, 1965. To avoid the feeling of a gallery. Rauschenberg covered the floor with a black rubber mat. The five pieces were placed throughout the front room of the gallery and the viewers could walk freely among them.","Work
","Sound, Audio-System, Electric Engineering, Battery","Environment, Sculpture, Reactive/Interactive"
"Variations V","6. John Cage made Variations V in 1965 for the Merce Cunningham Dance Company. He and David Tudor settled on two systems for the sound to be affected by movement. For the first, my colleagues and I set up a system of directional photocells aimed at the stage lights, so that the dancers triggered sounds as they cut the light beams with their movements. A second system used a series of antennas. When a dancer came within four feet of an antenna a sound would result. Ten photocells were wired to activate tape-recorders and short-wave radios. Cecil Coker designed a control circuit, which was built by my assistant Witt Wittnebert. Film footage by Stan VanDerBeek and Nam June Paik's manipulated television images were projected on screens behind the dancers. In this photograph Variations Vis performed for a television taping session in Hamburg. The photocells were located at the base of the five-foot antennas placed around the stage. Cage, Tudor, and Gordon Mumma operate equipment to modify and determine the final sounds.","Work
","Light equipment, Projection, Electrical Engineering, Sensors, Photocells, Sound","Performance, Concert, Dance, Music, Reactive/Interactive"
"Silver Clouds","7. At the 47th Street Factory, Andy Warhol asked me for a floating light bulb. We made some calculations and discovered it was not possible with existing battery technology. While working on the idea, my colleague at Bell Laboratories found a material called ScotchpakTM which was relatively impermeable to helium and could be heat sealed. It was used by the United States Army for wrapping sandwiches. When I brought this material to Andy he decided to make clouds and while we were figuring out how to heat-seal curves, he simply folded the material over and made these Silver Clouds, which were first shown at Leo Castelli's gallery in 1966. The sculptures had a wonderful buoyancy as they hovered gently in the room. The heat gradient between the floor and ceiling creates a slight pressure differential; we could balance the Silver Clouds using paperclips to make them float between ceiling and floor.","Work
","Material, Plastic","Sculpture, Installation, Environment"
"First Meeting Planning of artists and engineers for the 9 Evenings","8. By 1965, interest among the artists in using technology had grown, and many of the artists who had performed together at Judson Church and other spaces in New York expressed a desire to stage large-scale performances. Bob Rauschenberg and I organized a group of artists to work together with engineers on a series of performances involving new technology. The group included John Cage, Lucinda Childs, Öyvind Fahlström, Alex Hay, Deborah Hay, Steve Paxton, Yvonne Rainer, Robert Rauschenberg, David Tudor, and Robert Whitman. The first planning meeting of artists and engineers took place in early 1966 in Rauschenberg's studio. During the summer of 1966, more than 30 engineers, most of them from Bell Laboratories, worked in one-to-one collaboration with individual artists, depending on the artist's project and engineer's speciality. Other engineers worked on equipment and systems that could be used by ail the artists.","Meeting",,
"9 Evenings: Theatre and Engineering","9. 9 Evenings: Theatre and Engineering opened on October 13, 1966, at the 69th Regiment Armory, a huge space on Lexington Avenue at 25th Street in New York City. The art community in New York became involved in helping us with 9 Evenings, as fellow artists, dancers, musicians, and performers volunteered their time for setting up and trouble shooting, and then appeared in the performances. A high-powered, but slightly distorted publicity campaign resulted in more than 1500 people each night attended the performances, many of them unprepared for the avant-garde performances they saw. In this photograph the crowd is entering the Armory on opening night. The 9 EVENINGS poster, designed by Rauschenberg, hangs on either side of the entrance, and an Army transport truck sits on the street, displaced from its usual parking place on the Armory floor.","Project, Festival",,
"Physical Things","10. In Steve Paxton's work, Physical Things, a polyethylene air-inflated structure occupied most of the Armory floor and a tower rose to the peak of the Armory roof. The audience walked through the structure, encountering slide projections, sounds and performers. Emerging from the structure, they used small receivers to hear different sounds broadcast from wire loops suspended in a net overhead.","Work
","Sound, Light, Projection, Electrical engineering, Radio, Paint, Receivers
","Performance, Environment, Theatre, With People
"
"Grass Field","11. For Grass Field Alex Hay wanted to pick up body sounds: brain waves, muscle activity and eye movements. Pete Kaminsky, Fred Waldhauer and Cecil Coker built a battery-driven differential amplifier which had a peak gain of 80 db at low frequencies from 1/2 Hz to 10Hz. The whole unit, batteries and all fit into a 1""x3""x5"" box, no mean feat to do this in 1966. The signal from the differential amplifier was fed into a voltage-controlled oscillator, then to a transmitter, which sent the sound to the speakers. Electrodes were placed on Hay's head and body and ail the equipment was attached to a plastic plate fastened on Hay's back. These body sounds were heard through the speakers as Hay carefully laid out 64 numbered pieces of cloth. Here Hay is sitting in front of a television camera and the image of his face is projected on the screen behind him as Robert Rauschenberg picks up numbered cloths.","Work
","Sound, Light, Projection, Television, Biology, Electrical engineering, Bio Sensors","Performance, Theatre"
